Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,year
08/14/2017,Completed - Dup,08/16/2017,17-05445130,Abandoned Vehicle Complaint,Y734595,Ford,Green,FVI - Outcome,Create Work Order,30,4831 S PRAIRIE AVE,60615,1178857.28629544,1873049.6133338,3,2,38,NA,41.80657943066,-87.61937250347,"(-87.61937250346986, 41.80657943066115)",2017
11/14/2017,Completed,12/01/2017,17-07701958,Abandoned Vehicle Complaint,R633029,Nissan,Black,FVI - Outcome,Vehicle was moved from original address requested,30,7148 W ADDISON ST,60634,1128105.01472238,1923105.03751622,38,16,17,NA,41.94540488997,-87.80532137426,"(-87.80532137426101, 41.945404889968586)",2017
07/08/2017,Completed,08/04/2017,17-04493223,Abandoned Vehicle Complaint,DJZ7301,Toyota,Blue,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,10,6120 W GIDDINGS ST,60630,1134664.72367969,1930913.62319164,38,16,15,NA,41.96672996376,-87.78064024046,"(-87.78064024046445, 41.96672996375621)",2017
11/25/2017,Completed,12/11/2017,17-07940915,Abandoned Vehicle Complaint,1774914,Chevrolet,White,FVI - Outcome,Vehicle was moved from original address requested,21,5300 S ST LOUIS AVE,60632,1153943.04059076,1869253.35999642,14,8,63,NA,41.7970139276,-87.71115349065,"(-87.71115349064787, 41.7970139275986)",2017
07/03/2017,Completed,08/15/2017,17-04383312,Abandoned Vehicle Complaint,LEANDER,Cadillac,Brown,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,20,2548 W MOFFAT ST,60647,1159086.69352508,1912206.56019268,1,14,22,NA,41.91492658909,-87.69172393391,"(-87.69172393390826, 41.9149265890854)",2017
09/05/2017,Completed - Dup,09/05/2017,17-05897520,Abandoned Vehicle Complaint,82010 FF,Oldsmobile,Black,FVI - Outcome,Create Work Order,19,4114 W HOLLYWOOD AVE,60646,1148037.30178277,1937436.62341037,39,17,13,NA,41.98437975324,-87.73156432395,"(-87.73156432394757, 41.98437975324)",2017
08/28/2017,Completed,09/19/2017,17-05757995,Abandoned Vehicle Complaint,IL L69 5871,Bmw,Black,FVI - Outcome,Vehicle was moved from original address requested,365,12415 S BURLEY AVE,60633,1199867.62900693,1823204.49488283,10,4,55,NA,41.6694913834,-87.54401855729,"(-87.54401855729266, 41.66949138339818)",2017
09/23/2017,Completed - Dup,09/25/2017,17-06364607,Abandoned Vehicle Complaint,V750452,Ford,Black,NA,NA,10,326 E 90TH PL,60619,1179898.81880947,1845043.93311486,9,6,44,NA,41.73018798415,-87.61646107301,"(-87.61646107300923, 41.73018798414916)",2017
12/04/2017,Completed - Dup,12/06/2017,17-08152451,Abandoned Vehicle Complaint,88246 FF,Honda,Silver,NA,NA,200,1728 N MONITOR AVE,60639,1137160.38968732,1911010.78002045,29,25,25,NA,41.91196757282,-87.77169957679,"(-87.77169957679335, 41.91196757281893)",2017
12/01/2017,Completed - Dup,12/04/2017,17-08090411,Abandoned Vehicle Complaint,E413674,Isuzu,Silver,FVI - Outcome,Create Work Order,28,4835 W WINNEMAC AVE,60630,1143208.36021681,1933139.67003376,45,16,12,NA,41.97246164209,-87.74932427082,"(-87.74932427082392, 41.9724616420886)",2017
08/19/2017,Completed,09/14/2017,17-05563677,Abandoned Vehicle Complaint,V936325,(Unlisted Make),Green,FVI - Outcome,Vehicle was moved from original address requested,12,6908 W FARRAGUT AVE,60656,1129278.28618445,1934432.78001092,41,16,10,NA,41.97648431287,-87.80018140486,"(-87.8001814048554, 41.97648431287282)",2017
08/21/2017,Completed,09/29/2017,17-05590262,Abandoned Vehicle Complaint,Z254156,Chevrolet,Silver,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,20,8141 S CALIFORNIA AVE,60652,1159126.66540969,1850521.84377299,18,8,70,NA,41.7450871855,-87.69235055648,"(-87.69235055647592, 41.74508718550328)",2017
11/09/2017,Completed,12/08/2017,17-07590450,Abandoned Vehicle Complaint,IL H80 2143,(Unlisted Make),Blue,FVI - Outcome,NA,10,2837 W IRVING PARK RD,60618,1156634.71810826,1926452.74840253,33,17,16,NA,41.95385639498,-87.69975878951,"(-87.69975878950694, 41.95385639498244)",2017
08/05/2017,Completed,09/27/2017,17-05193867,Abandoned Vehicle Complaint,NA,Pontiac,Red,Place 7 Day Sticker,Follow on Activity was created,14,7939 S PAULINA ST,60620,1166391.59210899,1852054.29602476,17,6,71,NA,41.7491611201,-87.66568932999,"(-87.66568932999364, 41.74916112009848)",2017
08/25/2017,Completed,09/15/2017,17-05677047,Abandoned Vehicle Complaint,NA,NA,NA,NA,NA,NA,320 E LOWER WACKER DR,60601,1178473.82809411,1902565.53368375,42,1,32,NA,41.88798923142,-87.6196561432,"(-87.61965614319814, 41.887989231423894)",2017
07/12/2017,Completed,08/28/2017,17-04582703,Abandoned Vehicle Complaint,ZU74113,Toyota,Gold,NA,NA,20,2008 W 18TH ST,60608,1163267.1148005,1891406.55342557,25,12,31,NA,41.85776725486,-87.67642378763,"(-87.67642378762966, 41.85776725486362)",2017
11/20/2017,Completed,12/18/2017,17-07848391,Abandoned Vehicle Complaint,NO PLATES / ALL TIRES ARE FLAT,Ford,Black,FVI - Outcome,Vehicle was moved from original address requested,17,4052 N ELSTON AVE,60618,1150979.65570723,1926631.06697805,45,17,16,NA,41.9546703834,-87.72079181782,"(-87.72079181781729, 41.95467038339709)",2017
09/30/2017,Completed,10/18/2017,17-06550204,Abandoned Vehicle Complaint,AN24067,Chevrolet,Green,FVI - Outcome,Vehicle was moved from original address requested,30,4317 N KEDVALE AVE,60641,1148073.28243044,1928371.57369255,39,17,16,NA,41.95963432376,-87.73086700402,"(-87.73086700401845, 41.95963432376419)",2017
11/16/2017,Completed,12/12/2017,17-07757369,Abandoned Vehicle Complaint,Q139162,Chevrolet,Black,FVI - Outcome,Vehicle was moved from original address requested,40,4536 W GRENSHAW ST,60624,1146390.33957128,1894648.73473143,24,11,29,NA,41.86699109038,-87.73897366295,"(-87.73897366294504, 41.86699109037526)",2017
11/04/2017,Completed - Dup,11/06/2017,17-07443974,Abandoned Vehicle Complaint,Q18 3996,Ford,White,FVI - Outcome,Create Work Order,8,8523 S MARYLAND AVE,60619,1183380.22559736,1848644.21271979,8,6,44,NA,41.73958491166,-87.60354272069,"(-87.60354272069026, 41.73958491166252)",2017
07/25/2017,Completed,08/14/2017,17-04907485,Abandoned Vehicle Complaint,ZU48524,Chevrolet,Silver,FVI - Outcome,Vehicle was moved from original address requested,14,4505 S GREENWOOD AVE,60653,1184342.69421967,1875361.45361126,4,2,39,NA,41.81305222129,-87.59918933827,"(-87.59918933826766, 41.81305222129251)",2017
12/07/2017,Completed,02/07/2018,17-08224126,Abandoned Vehicle Complaint,AH38022,Ford,Maroon,NA,NA,30,4308 W 56TH ST,60629,1148567.24043407,1867123.87097814,13,8,62,NA,41.79143027015,-87.73089052118,"(-87.73089052117665, 41.7914302701454)",2017
08/11/2017,Completed,09/05/2017,17-05367525,Abandoned Vehicle Complaint,NONE,Honda,Silver,FVI - Outcome,Vehicle was moved from original address requested,21,6034 S MASON AVE,60638,1137765.68541448,1863931.16998193,13,8,64,NA,41.78232827557,-87.77059008004,"(-87.77059008004014, 41.7823282755655)",2017
11/27/2017,Completed,12/13/2017,17-07986069,Abandoned Vehicle Complaint,T503026,Ford,Blue,FVI - Outcome,Vehicle was moved from original address requested,30,5350 S WALLACE ST,60609,1173166.26500649,1869749.76120303,3,9,61,NA,41.79652663664,-87.64058165621,"(-87.64058165620578, 41.79652663663637)",2017
09/06/2017,Completed,10/03/2017,17-05918213,Abandoned Vehicle Complaint,E812647,Ford,Maroon,FVI - Outcome,Return to Owner - Vehicle,30,4329 W GRAND AVE,60651,1147213.87867616,1910148.87999299,26,25,23,NA,41.90946906631,-87.73510050321,"(-87.7351005032079, 41.909469066314266)",2017
12/08/2017,Completed - Dup,12/11/2017,17-08245604,Abandoned Vehicle Complaint,Q680040,Chevrolet,Gray,FVI - Outcome,Create Work Order,90,3936 S ARTESIAN AVE,60632,1160673.87161591,1878490.91851656,12,9,58,NA,41.82184526614,-87.68621706681,"(-87.68621706681087, 41.82184526613898)",2017
12/27/2017,Completed,01/26/2018,17-08621602,Abandoned Vehicle Complaint,MV 4304,Chevrolet,Silver,NA,NA,14,6688 N SIOUX AVE,60646,1138464.24411608,1943952.55890274,41,16,12,NA,42.00222838451,-87.7660022339,"(-87.76600223390244, 42.002228384507575)",2017
08/15/2017,Completed,08/25/2017,17-05466819,Abandoned Vehicle Complaint,NA,Toyota,White,FVI - Outcome,Vehicle was moved from original address requested,60,2046 N LOREL AVE,60639,1140387.92002472,1913180.66091446,36,25,19,NA,41.91808514945,-87.75979405857,"(-87.75979405856742, 41.918085149451336)",2017
11/06/2017,Completed,11/28/2017,17-07499745,Abandoned Vehicle Complaint,E862926,Dodge,Blue,FVI - Outcome,Vehicle was moved from original address requested,210,6645 N WASHTENAW AVE,60645,1157121.58419302,1943985.09597397,50,24,2,NA,42.00257583857,-87.69718399142,"(-87.69718399142238, 42.00257583857147)",2017
10/10/2017,Completed,11/27/2017,17-06805728,Abandoned Vehicle Complaint,NA,Pontiac,Blue,NA,NA,15,4214 N ALBANY AVE,60618,1154963.23697269,1927845.68472574,33,17,16,NA,41.95804864713,-87.7058498263,"(-87.70584982629806, 41.9580486471328)",2017
07/12/2017,Completed,08/03/2017,17-04586298,Abandoned Vehicle Complaint,NA,NA,NA,FVI - Outcome,Vehicle was moved from original address requested,NA,8234 S HARPER AVE,60619,1187906.35579737,1850689.9712861,8,4,45,NA,41.74494914773,-87.58718768007,"(-87.58718768007348, 41.744949147727716)",2017
08/18/2017,Completed,09/20/2017,17-05537752,Abandoned Vehicle Complaint,N226842,Volkswagen,Black,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,30,1821 N KEYSTONE AVE,60639,1149096.74890962,1911814.2544258,35,25,20,NA,41.91420961725,-87.72754038383,"(-87.7275403838325, 41.914209617245795)",2017
